GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
arrayservice,by.jrr.ruslan.arrayservice,App,4,0,0,0,2,0,2,0,2,0
arrayservice,by.jrr.ruslan.arrayservice.service,ArrayService,0,85,2,8,0,19,2,9,0,6
